Client Name,Product ID,Product Description,Date,Analysis,Result
CLIENT_A,SPONGE,A1,1/2/17,APCPFSPCMMEF,10
CLIENT_A,SPONGE,A1,1/2/17,COLIPFSPCMMEF,<10
CLIENT_A,SPONGE,A2,1/2/17,APCPFSPCMMEF,50
CLIENT_A,SPONGE,A2,1/2/17,COLIPFSPCMMEF,<10
CLIENT_A,SPONGE,A3,1/2/17,APCPFSPCMMEF,70
CLIENT_A,SPONGE,A3,1/2/17,COLIPFSPCMMEF,<10
CLIENT_A,SPONGE,A4,1/2/17,APCPFSPCMMEF,90000
CLIENT_A,SPONGE,A4,1/2/17,COLIPFSPCMMEF,80
CLIENT_A,SPONGE,A5,1/2/17,APCPFSPCMMEF,40
CLIENT_A,SPONGE,A5,1/2/17,COLIPFSPCMMEF,<10
CLIENT_A,SPONGE,A6,1/2/17,APCPFSPCMMEF,900
CLIENT_A,SPONGE,A6,1/2/17,COLIPFSPCMMEF,10
CLIENT_A,SPONGE,A7,1/2/17,APCPFSPCMMEF,40
CLIENT_A,SPONGE,A7,1/2/17,COLIPFSPCMMEF,<10
CLIENT_A,SPONGE,CONTROL,1/2/17,APCPFSPCMMEF,<10
CLIENT_A,SPONGE,A1,3/6/17,APCPFSPCMMEF,10
CLIENT_A,SPONGE,A1,3/6/17,COLIPFSPCMMEF,<10
CLIENT_A,SPONGE,A2,3/6/17,APCPFSPCMMEF,<10
CLIENT_A,SPONGE,A2,3/6/17,COLIPFSPCMMEF,<10
CLIENT_A,SPONGE,A3,3/6/17,APCPFSPCMMEF,10
CLIENT_A,SPONGE,A3,3/6/17,COLIPFSPCMMEF,<10
CLIENT_A,SPONGE,A4,3/6/17,APCPFSPCMMEF,59000
CLIENT_A,SPONGE,A4,3/6/17,COLIPFSPCMMEF,40
CLIENT_A,SPONGE,A5,3/6/17,APCPFSPCMMEF,80
CLIENT_A,SPONGE,A5,3/6/17,COLIPFSPCMMEF,<10
CLIENT_A,SPONGE,A6,3/6/17,APCPFSPCMMEF,700
CLIENT_A,SPONGE,A6,3/6/17,COLIPFSPCMMEF,20
CLIENT_A,SPONGE,A7,3/6/17,APCPFSPCMMEF,<10
CLIENT_A,SPONGE,A7,3/6/17,COLIPFSPCMMEF,<10
CLIENT_A,SPONGE,CONTROL,3/6/17,APCPFSPCMMEF,<10
CLIENT_B,PORK,,5/19/18,LABPFCMMEF,<20
CLIENT_B,PORK,,5/19/18,LABPFCMMEF,180000
CLIENT_B,PORK,,5/19/18,LABPFCMMEF,8000
CLIENT_B,PORK,,5/19/18,LABPFCMMEF,4000
CLIENT_B,PORK,,5/19/18,LABPFCMMEF,1200
CLIENT_B,LIVER,,5/19/18,LABPFCMMEF,<20
CLIENT_B,LIVER,,5/19/18,LABPFCMMEF,40
CLIENT_B,LIVER,,5/19/18,LABPFCMMEF,120
CLIENT_B,LIVER,,5/19/18,LABPFCMMEF,<20
CLIENT_B,LIVER,,5/19/18,LABPFCMMEF,<20
CLIENT_B,BEEF,,5/19/18,LABPFCMMEF,<20
CLIENT_B,BEEF,,5/19/18,LABPFCMMEF,<20
CLIENT_B,BEEF,,5/19/18,LABPFCMMEF,20
CLIENT_B,BEEF,,5/19/18,LABPFCMMEF,60
CLIENT_B,BEEF,,5/19/18,LABPFCMMEF,<20
CLIENT_B,MISC,,5/19/18,LABPFCMMEF,320000
CLIENT_B,MISC,,5/19/18,LABPFCMMEF,8000000
CLIENT_B,MISC,,5/19/18,LABPFCMMEF,<20
CLIENT_B,MISC,,5/19/18,LABPFCMMEF,12000
CLIENT_B,MISC,,5/19/18,LABPFCMMEF,40
CLIENT_C,SWAB,Drain,9/28/18,APCPFSWCMMEF,310000
CLIENT_C,SWAB,Floor under table,9/28/18,APCPFSWCMMEF,2000
CLIENT_C,SWAB,Post-op Knives,9/28/18,APCPFSWCMMEF,30
CLIENT_C,SWAB,Blue Trays,9/28/18,APCPFSWCMMEF,580
CLIENT_C,SWAB,Jose Hands,9/28/18,APCPFSWCMMEF,<10
CLIENT_C,SWAB,Drain,10/20/18,APCPFSWCMMEF,19000
CLIENT_C,SWAB,Floor under table,10/20/18,APCPFSWCMMEF,10000
CLIENT_C,SWAB,Post-op Knives,10/20/18,APCPFSWCMMEF,70
CLIENT_C,SWAB,Blue Trays,10/20/18,APCPFSWCMMEF,190
CLIENT_C,SWAB,Jose Hands,10/20/18,APCPFSWCMMEF,10
CLIENT_C,SWAB,Drain,11/12/18,APCPFSWCMMEF,4500000
CLIENT_C,SWAB,Floor under table,11/12/18,APCPFSWCMMEF,100
CLIENT_C,SWAB,Post-op Knives,11/12/18,APCPFSWCMMEF,40
CLIENT_C,SWAB,Blue Trays,11/12/18,APCPFSWCMMEF,920
CLIENT_C,SWAB,Jose Hands,11/12/18,APCPFSWCMMEF,<10
CLIENT_C,SWAB,Drain,12/10/18,APCPFSWCMMEF,29000
CLIENT_C,SWAB,Floor under table,12/10/18,APCPFSWCMMEF,3500
CLIENT_C,SWAB,Post-op Knives,12/10/18,APCPFSWCMMEF,30
CLIENT_C,SWAB,Blue Trays,12/10/18,APCPFSWCMMEF,200
CLIENT_C,SWAB,Jose Hands,12/10/18,APCPFSWCMMEF,<10
CLIENT_D,110928,,3/14/18,APCPFAOAC,30
CLIENT_D,110928,,3/14/18,COLIPFAOAC,<10
CLIENT_D,110928,,3/14/18,ENTBACPFCMMEF,<10
CLIENT_D,110928,,3/29/18,APCPFAOAC,100
CLIENT_D,110929,,3/29/18,COLIPFAOAC,10
CLIENT_D,110929,,3/29/18,ENTBACPFCMMEF,<10
CLIENT_D,110929,,3/29/18,STAPHAPFAOAC,<10
CLIENT_D,22983776,,4/30/18,APCAOAC25,300
CLIENT_D,22983776,,5/15/18,APCAOAC25,450
CLIENT_D,MISC,BBQ Sauce,4/10/18,APCAOAC25,<10
CLIENT_D,MISC,,12/4/17,APCAOAC25,58000000
CLIENT_D,MISC,,1/2/16,APCAOAC25,250
CLIENT_D,MISC,Mayonnaise,2/14/17,APCAOAC25,<10
CLIENT_D,MISC,,11/19/18,APCAOAC25,30
CLIENT_D,SPONGE,B1,10/24/18,APCPFSPCMMEF,200
CLIENT_D,SPONGE,B1,10/24/18,ENTBACPFSPCMMEF,<10
CLIENT_D,SPONGE,B3,10/24/18,APCPFSPCMMEF,<10
CLIENT_D,SPONGE,B3,10/24/18,ENTBACPFSPCMMEF,<10
CLIENT_D,SPONGE,B5,10/24/18,APCPFSPCMMEF,30000
CLIENT_D,SPONGE,B5,10/24/18,ENTBACPFSPCMMEF,20
CLIENT_E,SWAB,Pack A,2/19/19,APCPFSWCMMEF,200
CLIENT_E,SWAB,Pack B,2/19/19,APCPFSWCMMEF,450
CLIENT_E,SWAB,Pack C,2/19/19,APCPFSWCMMEF,250
CLIENT_E,SWAB,Pack D,2/19/19,APCPFSWCMMEF,100
CLIENT_E,SWAB,Pack E,2/19/19,APCPFSWCMMEF,900
CLIENT_E,SWAB,Pack A,2/24/19,APCPFSWCMMEF,640
CLIENT_E,SWAB,Pack B,2/24/19,APCPFSWCMMEF,7000
CLIENT_E,SWAB,Pack C,2/24/19,APCPFSWCMMEF,990
CLIENT_E,SWAB,Pack D,2/24/19,APCPFSWCMMEF,8000
CLIENT_E,SWAB,Pack E,2/24/19,APCPFSWCMMEF,12000
CLIENT_E,SWAB,Pack A,2/28/19,APCPFSWCMMEF,<10
CLIENT_E,SWAB,Pack B,2/28/19,APCPFSWCMMEF,90
CLIENT_E,SWAB,Pack C,2/28/19,APCPFSWCMMEF,300
CLIENT_E,SWAB,Pack D,2/28/19,APCPFSWCMMEF,150
CLIENT_E,SWAB,Pack E,2/28/19,APCPFSWCMMEF,100
CLIENT_E,SWAB,Pack A,3/4/19,APCPFSWCMMEF,<10
